                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2922,                0.91397,                 1.4256,                0.71218,                0.66859,                0.69795,                0.36664,                 1.4984,                0.89835,                  1.507,             0.00063438,             0.00063438,             0.00063438
                     68,                 1.2954,                0.93114,                 1.4386,                 0.7274,                0.68808,                0.73959,                0.38512,                 1.5279,                0.86296,                 1.5097,             0.00062705,             0.00062705,             0.00062705
                     69,                 1.2725,                0.91145,                 1.4259,                0.75407,                0.71908,                0.76025,                0.38721,                  1.525,                0.89479,                 1.5273,             0.00061972,             0.00061972,             0.00061972
                     70,                 1.2883,                 0.9204,                  1.439,                0.74215,                0.74702,                0.78517,                 0.3989,                 1.5103,                0.87221,                 1.5174,             0.00061238,             0.00061238,             0.00061238
                     71,                 1.2891,                0.91622,                 1.4461,                0.80434,                0.73621,                0.78381,                 0.4102,                 1.4976,                0.86898,                 1.4952,             0.00060505,             0.00060505,             0.00060505
                     72,                 1.2935,                0.91182,                 1.4239,                0.76954,                0.72647,                0.73944,                0.37624,                 1.5346,                0.93259,                  1.531,             0.00059772,             0.00059772,             0.00059772
                     73,                 1.2742,                0.91942,                 1.4235,                0.79843,                0.75437,                0.77639,                0.39375,                 1.5325,                0.85625,                   1.52,             0.00059039,             0.00059039,             0.00059039
                     74,                 1.2945,                0.90857,                 1.4378,                0.76511,                0.75335,                0.76767,                0.37875,                  1.612,                0.89063,                 1.5524,             0.00058305,             0.00058305,             0.00058305
                     75,                 1.2901,                0.91807,                 1.4358,                0.72922,                0.71535,                0.74338,                0.38564,                 1.4963,                 0.8953,                 1.4999,             0.00057572,             0.00057572,             0.00057572
                     76,                 1.2803,                0.91518,                 1.4225,                0.78015,                0.73805,                0.76935,                0.40121,                 1.5143,                0.86607,                 1.4987,             0.00056839,             0.00056839,             0.00056839
                     77,                 1.2649,                0.89043,                 1.4098,                0.84538,                0.64258,                0.74515,                0.38699,                 1.4824,                0.89849,                 1.4923,             0.00056105,             0.00056105,             0.00056105
                     78,                 1.2695,                0.89004,                 1.4236,                0.78614,                0.71814,                0.74212,                0.35762,                 1.6736,                0.93367,                 1.6152,             0.00055372,             0.00055372,             0.00055372
                     79,                 1.2785,                0.89246,                 1.4125,                0.74431,                0.72919,                0.76811,                0.40285,                 1.4882,                0.86366,                 1.4978,             0.00054639,             0.00054639,             0.00054639
                     80,                 1.2638,                0.89947,                 1.4155,                0.72333,                0.79304,                0.77981,                 0.3965,                 1.5533,                0.85143,                 1.5294,             0.00053906,             0.00053906,             0.00053906
                     81,                 1.2781,                0.89882,                 1.4218,                0.82819,                0.75058,                0.79135,                  0.413,                 1.4796,                0.84637,                  1.474,             0.00053172,             0.00053172,             0.00053172
                     82,                  1.263,                0.88956,                 1.4176,                0.80344,                0.76861,                0.78488,                0.41662,                 1.4624,                0.81691,                 1.4796,             0.00052439,             0.00052439,             0.00052439
                     83,                 1.2472,                0.87199,                 1.4071,                0.76637,                0.74438,                 0.7726,                0.41959,                 1.4894,                0.82579,                 1.4863,             0.00051706,             0.00051706,             0.00051706
                     84,                 1.2622,                0.87343,                   1.41,                 0.6987,                0.79201,                0.76567,                0.40488,                  1.474,                0.83505,                 1.4665,             0.00050973,             0.00050973,             0.00050973
                     85,                 1.2538,                0.87397,                 1.4152,                0.80322,                0.77086,                0.80083,                0.42006,                 1.5177,                0.81176,                 1.4939,             0.00050239,             0.00050239,             0.00050239
                     86,                 1.2598,                0.87156,                 1.4172,                0.77122,                0.73089,                 0.7825,                0.41453,                 1.4799,                0.85098,                 1.4706,             0.00049506,             0.00049506,             0.00049506
                     87,                 1.2469,                0.86228,                 1.4071,                0.76131,                  0.751,                 0.7998,                 0.4185,                 1.5031,                0.83219,                 1.4864,             0.00048773,             0.00048773,             0.00048773
                     88,                 1.2511,                 0.8726,                 1.4101,                0.77311,                0.75245,                0.79577,                0.41547,                 1.4772,                0.84852,                 1.4855,              0.0004804,              0.0004804,              0.0004804
                     89,                 1.2491,                0.86398,                 1.4029,                0.66996,                 0.7747,                0.74897,                0.40266,                 1.5001,                0.85605,                 1.4867,             0.00047306,             0.00047306,             0.00047306
                     90,                 1.2531,                0.86673,                 1.4078,                0.75692,                0.76132,                0.78674,                0.41492,                 1.4612,                0.82257,                 1.4744,             0.00046573,             0.00046573,             0.00046573
                     91,                 1.2401,                0.85198,                 1.3884,                0.73872,                0.75758,                 0.7601,                0.40933,                 1.4558,                0.80799,                 1.4562,              0.0004584,              0.0004584,              0.0004584
                     92,                 1.2329,                0.85226,                 1.3996,                0.68968,                0.75028,                0.76031,                0.40647,                 1.4918,                0.80495,                 1.4877,             0.00045107,             0.00045107,             0.00045107
                     93,                  1.231,                0.85825,                  1.399,                0.76231,                0.75674,                0.77707,                0.40379,                 1.5134,                0.81991,                 1.5069,             0.00044373,             0.00044373,             0.00044373
                     94,                 1.2546,                0.84919,                 1.4167,                0.70945,                0.76648,                0.78324,                0.41678,                 1.4895,                0.82575,                 1.4846,              0.0004364,              0.0004364,              0.0004364
